Academic Term,Term Value,Queried Subject,Class Code,Class Nbr,Course Title,Units,Teaching Staff,Quota(s),Vacancy,Course Component,Section Code,Language,Period,Room,Meeting Date,Add Consent,Drop Consent,Course Offering Dept
2026-27 Term 1,2420,AIST,AIST3030-,9823,Numerical Optimization 數值優化,3.00,- Professor Farzan FARNIA,50,50,LEC,-,E,Mo 10:30AM - 12:15PM,BMS_LT,"9/7, 9/14, 9/21, 9/28, 10/5, 10/12",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST3030-,9823,Numerical Optimization 數值優化,3.00,- Professor Farzan FARNIA,50,50,LEC,-,E,Mo 10:30AM - 12:15PM,BMS_LT,"10/26, 11/2, 11/9, 11/16, 11/23, 11/30",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST3030-,9823,Numerical Optimization 數值優化,3.00,- Professor Farzan FARNIA,50,50,LEC,-,E,We 04:30PM - 05:15PM,SC_L3,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST3030-,9823,Numerical Optimization 數值優化,3.00,- Professor Farzan FARNIA,50,50,TUT,-T01,E,We 03:30PM - 04:15PM,SC_L3,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST4010-,7215,Foundation of Applied DL 應用深度學習基礎,3.00,- Professor LI Yu,68,68,LEC,-,E,We 11:30AM - 01:15PM,SC_L4,"9/9, 9/16, 9/23, 9/30, 10/7, 10/14, 10/21, 10/28, 11/4, 11/11, 11/18, 11/25, 12/2",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST4010-,7215,Foundation of Applied DL 應用深度學習基礎,3.00,- Professor LI Yu,68,68,LEC,-,E,Th 04:30PM - 05:15PM,UCC_C3,"9/10, 9/17, 9/24",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST4010-,7215,Foundation of Applied DL 應用深度學習基礎,3.00,- Professor LI Yu,68,68,LEC,-,E,Th 04:30PM - 05:15PM,UCC_C3,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST4010-,7215,Foundation of Applied DL 應用深度學習基礎,3.00,- Professor LI Yu,68,68,TUT,-T01,E,Th 05:30PM - 06:15PM,UCC_C3,"9/10, 9/17, 9/24",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST4010-,7215,Foundation of Applied DL 應用深度學習基礎,3.00,- Professor LI Yu,68,68,TUT,-T01,E,Th 05:30PM - 06:15PM,UCC_C3,"10/8, 10/15, 10/22, 10/29, 11/5, 11/12, 11/19, 11/26, 12/3",,,Dept of Computer Sci & Engg
2026-27 Term 1,2420,AIST,AIST4040-,5095,Math Foundations of DL 深度學習的數學基礎,3.00,- Professor LIU Weiyang,60,60,LEC,-,E,Tu 12:30PM - 02:15PM,LSK_LT1,"9/8, 9/15, 9/22, 9/29, 10/6, 10/13, 10/20, 10/27, 11/3, 11/10, 11/17, 11/24, 12/1",,,Dept of Computer Sci & Engg
