term_code,class_nbr,course_code,class_code,section_code,primary_component,career,language,units,course_title_en,course_title_zh,teaching_staff,quota_total,vacancy,add_consent,drop_consent,course_offering_dept,source_snapshot_id,source_kind,captured_at
2420,8171,AIST4998,AIST4998AQ,AQJ1,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor YUAN Yixuan,10,9,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,4812,AIST4998,AIST4998B,BJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Staff,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6219,AIST4998,AIST4998C,CJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor CHENG James,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8134,AIST4998,AIST4998D,DJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor DOU Qi,10,9,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6209,AIST4998,AIST4998E,EJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor Farzan FARNIA,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6425,AIST4998,AIST4998F,FJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor FU Chi Wing,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8135,AIST4998,AIST4998G,GJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LIANG Zhiding,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8136,AIST4998,AIST4998H,HJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor HO Tsung Yi,10,9,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8137,AIST4998,AIST4998I,IJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LI Shaohua,10,8,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8139,AIST4998,AIST4998J,JJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LIU Shengchao,10,7,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6322,AIST4998,AIST4998K,KJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Staff,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8140,AIST4998,AIST4998L,LJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LEE Pak Ching,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8132,AIST4998,AIST4998M,MJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Dr. JIANG Yuli,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8141,AIST4998,AIST4998N,NJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LI Yu,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8138,AIST4998,AIST4998O,OJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LO Chi Lik Eric,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6217,AIST4998,AIST4998P,PJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LYU Rung Tsong Michael,10,5,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
