entity_type,entity_id,term_code,course_code,class_nbr,status,reason,attempt_count,first_attempt_at,last_attempt_at,source_snapshot_id,raw_path
subject,EEEN,2420,,,data,,1,2026-08-14T18:01:52.047Z,2026-08-14T18:01:56.578Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/EEEN.json
subject,EESC,2420,,,data,,1,2026-08-14T18:01:56.578Z,2026-08-14T18:02:01.493Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/EESC.json
subject,ELED,2420,,,data,,1,2026-08-14T18:02:01.494Z,2026-08-14T18:02:06.178Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ELED.json
subject,ELEG,2420,,,historical_fallback,Latest query was invalid/blank; records use the previous snapshot and may be stale.,2,2026-08-14T18:02:06.237Z,2026-08-14T18:02:16.050Z,2026-08-15T00-47-47+08-00,archive/legacy-snapshots/2026-08-15T00-47-47+08-00/raw/2420/ELEG.json
subject,ELTU,2420,,,school_approval_required,"Per confirmed project rule, this subject requires school approval; absence of public rows is not treated as a collection gap.",2,2026-08-14T18:02:16.051Z,2026-08-14T18:02:28.197Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/ELTU.json
subject,ENGE,2420,,,historical_fallback,Latest query was invalid/blank; records use the previous snapshot and may be stale.,2,2026-08-14T18:02:28.197Z,2026-08-14T18:02:42.233Z,2026-08-15T00-47-47+08-00,archive/legacy-snapshots/2026-08-15T00-47-47+08-00/raw/2420/ENGE.json
subject,ENGG,2420,,,data,Complete result grid recaptured from the official public timetable.,2,2026-08-14T18:03:09.684Z,2026-08-14T18:03:23.656Z,2026-08-15T18-34-00+08-00-gap-recapture,data/cuhk-timetable/snapshots/2026-08-15T18-34-00+08-00-gap-recapture/raw/2420/ENGG.json
subject,EPIN,2420,,,data,,1,2026-08-14T18:03:27.398Z,2026-08-14T18:03:32.972Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/EPIN.json
subject,ESTR,2420,,,historical_fallback,Latest query was invalid/blank; records use the previous snapshot and may be stale.,2,2026-08-14T18:03:33.023Z,2026-08-14T18:03:44.749Z,2026-08-15T00-47-47+08-00,archive/legacy-snapshots/2026-08-15T00-47-47+08-00/raw/2420/ESTR.json
subject,FAAS,2420,,,data,,2,2026-08-14T18:03:44.791Z,2026-08-14T18:03:55.893Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/FAAS.json
subject,FINA,2420,,,data,,2,2026-08-14T18:03:55.953Z,2026-08-14T18:04:06.900Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/FINA.json
subject,FNSC,2420,,,data,,1,2026-08-14T18:04:06.945Z,2026-08-14T18:04:12.293Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/FNSC.json
